time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_06:42:10,lz4,2097152,157286400,1,1032.22,2258885708,335940,114.313,2.056,-13.352,34.339,False,113.401,20.423,1030.3,1043.4,1032.4,1029.9,1041.9,1037.8,1028.8,1019.3,1058.5,1035.7,1039.8,1032.2,1010.1,1028.5,1031.2,1027.7,1039.4,1011.4,1028.7,1037.4
23-04-25_06:44:22,lz4,2097152,157286400,1,1033.19,2258885708,335964,114.514,2.056,-13.360,34.403,False,111.674,20.400,1030.5,1025.1,1020.2,1031.6,1024.0,1027.3,1028.6,1037.0,1020.7,1057.5,1042.9,1028.3,1024.4,1044.5,1030.3,1013.2,1040.2,1058.1,1007.3,1072.1
23-04-25_06:46:34,lz4,2097152,104857600,2,1003.98,2260127456,340648,108.449,2.002,-14.941,31.837,False,111.353,20.545,997.7,1004.1,1010.5,992.1,1002.5,983.1,1010.4,1009.9,1011.1,1010.2,1003.9,994.0,1007.7,1008.0,1010.8,1013.0,990.4,1005.8,1007.0,1007.1
23-04-25_06:48:45,zstd,2097152,104857600,1,888.01,1947464899,321752,84.371,15.559,-8.565,30.455,False,109.665,21.285,899.9,902.8,878.3,899.2,875.4,901.1,898.9,869.5,875.2,874.5,872.3,869.7,899.8,908.6,900.7,894.0,875.0,901.6,865.4,898.4
23-04-25_06:50:55,lz4,2097152,104857600,2,1038.18,2260127456,332208,115.551,2.002,-12.093,35.153,False,109.633,20.279,1039.2,1075.5,1035.0,1041.6,1015.7,1037.2,1041.2,1044.4,1038.4,1035.0,1033.5,1037.0,1041.8,1031.7,1012.8,1034.0,1040.9,1043.1,1041.8,1043.7
23-04-25_06:53:06,lz4,2097152,157286400,1,1025.26,2258885708,336268,112.868,2.056,-13.463,33.820,False,110.565,20.418,1015.0,1026.5,1027.1,1024.2,1026.0,1024.9,1026.3,1063.8,1003.9,1020.1,1030.7,1005.0,1052.5,1029.3,1034.8,1026.7,1009.3,1020.2,1022.1,1016.9
23-04-25_06:55:17,lz4,4194304,104857600,1,1049.50,2259784018,313456,117.901,2.017,-5.766,38.051,False,110.812,20.105,1076.9,1042.8,1061.8,1046.9,1051.9,1084.1,1044.4,1043.5,1036.3,1048.9,1044.7,1030.1,1055.3,1044.8,1041.1,1048.3,1042.8,1052.6,1048.2,1044.4
23-04-25_06:57:28,zstd,2097152,104857600,1,875.47,1947464899,322860,81.767,15.559,-8.939,29.462,False,109.859,21.402,895.9,859.7,865.0,872.8,861.9,894.5,896.3,862.5,889.8,852.1,887.4,863.9,868.3,859.3,868.6,866.9,892.4,895.1,867.3,889.8
23-04-25_06:59:42,lz4,2097152,52428800,1,946.07,2263906200,290004,96.427,1.838,2.147,33.471,False,112.721,20.845,942.6,943.2,932.6,934.7,947.3,942.4,938.5,951.5,938.8,938.8,994.9,938.0,951.0,969.8,942.4,935.6,942.9,942.2,945.6,948.6
23-04-25_07:01:54,lz4,2097152,52428800,1,926.76,2263906200,289652,92.417,1.838,2.266,32.174,False,110.857,20.935,924.8,926.0,925.8,921.6,926.7,927.7,926.7,919.7,915.9,935.3,926.0,924.7,940.3,934.0,927.7,932.6,924.8,927.5,920.6,927.0
23-04-25_07:04:05,zstd,2097152,104857600,1,895.99,1947464899,322420,86.029,15.559,-8.790,30.932,False,109.702,21.338,906.8,904.8,930.3,907.8,885.2,875.0,900.2,882.5,874.3,909.1,907.9,873.6,912.1,910.0,913.7,874.9,885.6,880.3,878.8,907.0
23-04-25_07:06:17,zstd,2097152,104857600,1,874.87,1947464899,321880,81.643,15.559,-8.608,29.531,False,110.343,21.394,886.5,856.6,877.4,863.5,859.9,894.7,868.3,864.8,875.4,859.7,888.8,892.1,889.5,885.7,844.4,892.7,886.1,886.0,853.7,871.7
