time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-24_18:20:03,lz4,524288,104857600,1,1317.95,1079200433,432224,74.403,1.086,-9.464,22.008,False,71.052,48.390,1281.3,1343.4,1362.1,1312.2,1283.3,1296.8,1313.3,1342.3,1327.8,1332.1,1341.3,1321.0,1290.3,1320.0,1317.9,1323.8,1324.9,1297.3,1315.0,1312.8
23-04-24_18:22:02,lz4,524288,41943040,1,1292.63,1079339265,354960,71.053,1.073,10.104,27.410,False,69.893,48.634,1289.1,1298.2,1297.0,1278.5,1280.3,1291.0,1290.0,1288.7,1291.5,1292.9,1291.3,1291.1,1283.7,1295.6,1288.5,1314.3,1286.2,1283.6,1299.6,1321.6
23-04-24_18:24:03,lz4,1048576,52428800,1,1307.78,1078257350,378140,73.057,1.172,4.233,26.154,False,71.891,49.259,1319.2,1314.8,1299.6,1298.2,1277.4,1310.1,1307.2,1303.7,1313.3,1326.1,1309.2,1315.8,1306.2,1306.9,1309.9,1306.4,1304.5,1311.3,1303.0,1312.7
23-04-24_18:26:01,lz4,524288,41943040,1,1343.61,1079339265,353952,77.798,1.073,10.359,29.743,True,70.399,48.035,1286.9,1296.7,1281.9,1274.9,1286.0,1376.2,1360.4,1437.1,1338.2,1354.9,1368.1,1291.1,1360.8,1361.7,1364.9,1343.1,1354.4,1361.6,1388.4,1385.0
23-04-24_18:28:00,lz4,524288,41943040,2,1304.96,1079339265,432092,72.684,1.073,-9.430,21.442,False,70.204,48.933,1291.0,1301.5,1290.9,1300.5,1346.8,1299.9,1282.9,1304.6,1297.0,1307.2,1296.8,1340.1,1315.2,1290.4,1292.3,1305.1,1326.9,1283.8,1333.0,1293.2
23-04-24_18:30:01,lz4,524288,31457280,1,1399.43,1079230179,354428,85.186,1.083,10.239,32.169,True,72.143,48.283,1394.6,1401.2,1410.6,1406.0,1400.9,1406.7,1400.7,1384.1,1388.1,1402.7,1407.8,1403.4,1412.4,1409.2,1404.8,1391.9,1365.2,1406.7,1404.1,1387.4
23-04-24_18:32:01,lz4,1048576,31457280,1,1482.68,1078353583,341908,96.201,1.164,13.409,36.925,True,71.644,48.785,1431.1,1423.3,1420.2,1421.3,1419.6,1429.9,1417.5,1424.5,1466.7,1418.2,1534.5,1513.3,1630.4,1534.9,1533.4,1537.5,1507.4,1530.9,1536.2,1522.8
23-04-24_18:34:03,lz4,1048576,31457280,2,1415.77,1078353583,396080,87.348,1.164,-0.310,29.401,False,71.509,49.569,1374.6,1499.8,1496.1,1485.6,1485.3,1399.3,1474.7,1387.8,1408.8,1396.3,1389.1,1392.1,1392.7,1383.7,1400.7,1399.7,1362.2,1393.7,1394.0,1399.6
23-04-24_18:36:03,lz4,1048576,31457280,2,1393.31,1078353583,397364,84.376,1.164,-0.635,28.301,False,70.834,49.360,1382.1,1402.2,1386.9,1382.5,1408.0,1396.7,1387.9,1390.9,1402.4,1394.0,1386.8,1382.1,1392.4,1391.7,1400.2,1396.7,1400.5,1392.5,1391.9,1397.9
23-04-24_18:38:04,lz4,1048576,31457280,2,1392.60,1078353583,397104,84.282,1.164,-0.569,28.292,False,71.557,49.544,1391.7,1382.8,1384.8,1377.5,1388.1,1391.0,1392.7,1499.3,1381.0,1382.4,1395.7,1389.3,1390.7,1385.8,1385.3,1377.6,1394.4,1387.5,1392.2,1382.2
23-04-24_18:40:03,lz4,524288,31457280,1,1413.64,1079230179,336920,87.066,1.083,14.673,34.274,False,70.116,48.435,1483.0,1417.6,1414.0,1407.9,1411.1,1402.1,1408.4,1445.3,1412.3,1411.1,1398.6,1405.9,1399.4,1406.6,1414.3,1403.9,1408.2,1417.1,1405.7,1400.3
23-04-24_18:42:04,lz4,1048576,31457280,2,1428.05,1078353583,396316,88.972,1.164,-0.370,29.922,False,72.178,49.526,1395.9,1392.6,1385.6,1474.3,1484.1,1483.2,1403.4,1412.2,1408.5,1425.0,1396.9,1393.0,1405.1,1406.4,1396.8,1499.7,1492.1,1491.8,1418.1,1396.4
23-04-24_18:44:07,lz4,2097152,31457280,1,1510.61,1078012319,362380,99.897,1.195,8.225,36.439,True,73.580,49.311,1503.3,1506.1,1509.6,1510.7,1512.7,1522.9,1509.0,1509.7,1504.2,1497.4,1512.9,1501.4,1498.9,1514.3,1480.0,1506.9,1518.3,1509.9,1509.2,1574.7
23-04-24_18:46:10,lz4,4194304,31457280,1,1498.28,1078012319,362864,98.267,1.195,8.102,35.855,True,73.140,49.457,1492.8,1503.0,1498.8,1506.6,1492.8,1505.1,1497.4,1496.2,1493.0,1493.8,1485.8,1497.4,1496.0,1497.0,1501.3,1492.3,1496.3,1499.6,1516.8,1503.9
23-04-24_18:48:09,zstd,4194304,31457280,1,1230.11,865028666,353980,62.779,20.716,10.352,31.282,False,66.000,53.207,1216.7,1233.6,1230.5,1218.3,1213.1,1250.6,1241.0,1238.9,1218.1,1225.4,1224.7,1225.3,1220.3,1229.7,1215.4,1233.9,1230.8,1239.2,1246.1,1250.7
23-04-24_18:50:08,zstd,4194304,31457280,1,1224.88,865028666,354048,62.087,20.716,10.335,31.046,False,65.343,53.157,1218.3,1229.7,1233.4,1216.5,1214.6,1242.1,1211.3,1230.4,1220.0,1227.3,1230.0,1212.4,1233.3,1226.1,1224.4,1218.9,1231.6,1231.4,1232.1,1213.9
23-04-24_18:52:06,zstd,4194304,31457280,1,1218.13,865028666,354140,61.194,20.716,10.312,30.741,False,65.361,53.208,1204.4,1205.5,1207.1,1222.1,1222.8,1225.3,1211.6,1210.0,1224.3,1235.4,1211.0,1223.0,1214.4,1202.0,1237.9,1205.2,1237.9,1211.4,1213.7,1237.8
23-04-24_18:54:09,lz4,4194304,41943040,1,1487.71,1077801462,376144,96.867,1.214,4.739,34.273,False,73.072,49.867,1480.3,1487.1,1466.4,1497.8,1482.2,1487.5,1500.8,1517.8,1479.2,1486.6,1491.9,1473.4,1494.4,1493.1,1478.3,1483.8,1479.5,1491.9,1495.8,1486.0
23-04-24_18:56:12,lz4,4194304,31457280,2,1493.42,1078012319,367884,97.622,1.195,6.831,35.216,True,73.004,49.544,1487.8,1482.2,1503.6,1507.0,1490.8,1517.6,1498.8,1490.6,1495.7,1485.7,1487.8,1509.1,1486.1,1482.2,1489.1,1484.3,1504.4,1504.3,1487.8,1473.4
23-04-24_18:58:11,zstd,4194304,31457280,2,1197.70,865028666,372644,58.490,20.716,5.625,28.277,False,65.666,53.640,1200.3,1186.9,1199.1,1179.7,1190.0,1194.1,1199.1,1201.2,1214.5,1191.9,1187.7,1198.5,1191.2,1183.4,1202.6,1186.8,1218.8,1211.9,1201.4,1214.9
23-04-24_19:00:16,lz4,4194304,41943040,2,1399.41,1077801462,398412,85.183,1.214,-0.901,28.499,False,74.290,50.327,1367.5,1412.4,1398.9,1416.7,1414.3,1387.0,1409.6,1389.7,1405.3,1404.3,1406.6,1374.8,1409.6,1403.7,1411.2,1394.2,1380.0,1411.7,1396.9,1393.9
23-04-24_19:02:21,lz4,4194304,41943040,2,1170.38,1077801462,398844,54.875,1.214,-1.010,18.360,False,73.989,50.609,1123.3,1256.9,1135.4,1041.7,1237.0,1133.5,1402.5,1134.0,1146.1,1140.8,1109.6,1008.3,1256.2,1129.8,1270.5,1119.2,1129.0,1246.8,1259.6,1127.2
23-04-24_19:04:25,lz4,4194304,41943040,2,1201.92,1077801462,399836,59.049,1.214,-1.261,19.667,False,73.591,50.233,1423.9,1351.7,1250.8,1304.1,1188.7,1173.0,946.1,1273.7,1272.2,1160.1,1139.1,1158.2,1045.9,1260.6,1272.6,1132.8,1034.8,1249.1,1141.5,1259.7
23-04-24_19:06:28,lz4,4194304,20971520,2,1572.67,1078480886,354164,108.110,1.152,10.306,39.856,True,73.994,49.142,1565.1,1569.2,1574.4,1563.0,1596.1,1567.3,1570.3,1577.7,1551.9,1563.3,1577.8,1569.9,1568.4,1558.6,1578.9,1585.4,1594.1,1570.2,1578.8,1573.1
23-04-24_19:08:26,zstd,4194304,20971520,2,1243.77,864455432,337272,64.588,20.768,14.584,33.313,False,64.999,53.384,1241.0,1252.4,1249.8,1241.3,1238.9,1254.8,1239.3,1228.4,1241.8,1240.4,1254.2,1250.9,1237.1,1246.0,1244.4,1244.4,1236.6,1245.1,1244.7,1244.0
23-04-24_19:10:24,zstd,4194304,20971520,2,1243.28,864455432,336316,64.522,20.768,14.826,33.372,False,64.882,53.158,1246.2,1241.8,1237.1,1233.8,1244.1,1246.6,1252.9,1235.3,1253.4,1236.0,1248.5,1242.8,1229.9,1242.7,1247.7,1250.4,1250.8,1247.0,1239.1,1239.4
23-04-24_19:12:26,lz4,2097152,20971520,2,1586.23,1078480886,354348,109.904,1.152,10.259,40.438,True,72.653,49.153,1565.8,1600.2,1591.7,1582.8,1591.2,1580.6,1600.6,1568.7,1586.9,1580.8,1586.7,1580.4,1586.7,1598.0,1593.6,1596.1,1589.5,1586.4,1583.4,1574.5
23-04-24_19:14:28,lz4,4194304,20971520,2,1593.11,1078480886,353312,110.815,1.152,10.521,40.829,True,72.645,49.296,1587.2,1589.0,1596.3,1599.8,1595.8,1586.1,1598.3,1605.7,1597.9,1592.2,1595.4,1613.1,1594.8,1604.5,1593.8,1584.4,1575.4,1572.1,1599.2,1581.0
23-04-24_19:16:27,zstd,4194304,20971520,2,1249.28,864455432,336536,65.316,20.768,14.770,33.618,False,65.478,53.251,1254.6,1246.5,1250.9,1248.1,1254.4,1255.9,1245.4,1264.8,1245.3,1250.0,1252.5,1250.1,1243.8,1246.5,1251.1,1245.4,1237.9,1249.6,1252.8,1239.9
23-04-24_19:18:30,lz4,4194304,31457280,2,1520.04,1078012319,366240,101.146,1.195,7.247,36.529,False,73.039,49.655,1492.8,1512.9,1557.7,1510.3,1508.0,1520.4,1521.8,1524.3,1529.7,1518.2,1529.6,1547.1,1507.8,1515.2,1532.9,1525.3,1506.2,1514.8,1511.3,1514.6
