time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-20_10:34:56,3,none,262144,52428800,1,932.32,3209935074,19.788,-194.206,-87.209,False,49.510,49.254,985.6,987.8,987.3,925.0,932.8,904.1,918.3,915.1,925.7,929.2,928.9,917.4,930.9,915.9,929.5,922.1,924.0,924.9,919.9,922.0
23-04-20_10:36:58,1,zstd,131072,52428800,1,996.34,875508317,28.014,19.755,23.885,True,69.228,52.953,977.0,982.9,982.4,978.0,978.6,1007.0,975.7,1031.6,981.5,1026.7,986.5,1031.3,1033.2,981.6,987.9,978.1,1028.9,958.8,984.9,1034.1
23-04-20_10:38:36,1,none,131072,52428800,1,779.67,3211072280,0.176,-194.311,-97.067,False,48.562,49.343,768.6,770.9,769.8,771.0,776.4,806.5,808.5,812.2,806.6,797.0,770.0,771.8,775.4,771.7,768.9,766.7,768.4,767.8,772.5,772.6
23-04-20_10:40:39,1,zstd,131072,52428800,2,976.93,875508317,25.521,19.755,22.638,True,68.633,53.675,978.0,984.2,970.8,974.9,970.1,973.9,972.7,978.0,972.4,980.6,979.7,983.3,973.5,983.0,979.5,976.9,983.3,971.0,974.6,978.5
23-04-20_10:43:01,3,zlib,65536,41943040,2,431.04,770294354,-44.618,29.399,-7.610,False,66.965,75.617,419.9,430.8,434.0,432.5,428.4,431.7,429.7,430.2,429.5,434.4,434.6,432.5,427.7,432.6,430.8,432.8,434.0,432.0,431.1,431.6
23-04-20_10:44:40,1,none,131072,52428800,2,786.82,3211072280,1.095,-194.311,-96.608,False,48.679,49.828,784.4,782.9,786.3,802.3,786.5,789.8,788.8,785.2,784.1,790.2,785.8,779.3,784.0,787.1,787.5,782.0,787.5,787.7,788.0,787.1
23-04-20_10:46:41,3,zstd,65536,104857600,3,838.88,874242246,7.783,19.871,13.827,False,65.305,55.615,839.0,837.8,842.2,845.4,836.5,841.6,836.0,838.3,840.7,844.0,839.5,833.2,839.2,836.8,835.8,837.5,835.4,845.2,838.2,835.3
23-04-20_10:48:43,1,zstd,131072,104857600,2,969.87,875531619,24.613,19.753,22.183,True,68.536,53.673,972.3,973.7,978.2,968.3,977.0,978.6,977.6,813.1,981.3,975.7,981.9,975.0,982.1,980.7,986.4,974.8,975.8,981.3,983.9,979.7
23-04-20_10:50:44,2,zstd,131072,52428800,1,975.98,875508317,25.399,19.755,22.577,True,67.968,52.960,976.9,972.0,975.8,969.4,974.7,971.7,971.1,971.3,986.1,982.1,973.5,968.6,975.2,973.8,979.4,979.9,979.6,979.2,977.0,982.2
23-04-20_10:52:45,1,zstd,131072,52428800,2,966.84,875508317,24.224,19.755,21.990,True,67.155,53.545,877.7,973.2,970.5,966.0,969.8,970.3,976.5,966.4,975.9,971.2,978.8,977.1,966.2,973.6,970.3,961.5,966.5,973.8,972.3,979.1
